Assets,Industry
NED.JO,Equities
FSR.JO,Equities
SBK.JO,Equities
ANH.JO,Equities
SOL.JO,Equities
AVI.JO,Equities
BVT.JO,Equities
MPT.JO,Equities
RNI.JO,Equities
REM.JO,Equities
NTC.JO,Equities
LHC.JO,Equities
GLN.JO,Equities
SHP.JO,Equities
BID.JO,Equities
KIO.JO,Equities
ARI.JO,Equities
MRP.JO,Equities
TRU.JO,Equities
NPN.JO,Equities
CMH.JO,Equities
PRX.JO,Equities
BTI.JO,Equities
AIP.JO,Equities
ITE.JO,Equities
SUI.JO,Equities
